Tag,Action,Page,Details,Timestamp,Participants,ID
2026-04-18 13:52:18 - ID: sess-ikbnllpuk, [ROBOT_SPEECH_START] , Page: /cs ," Details: Our core courses include Data Structures, Algorithms, and So...",2026-04-18 13:52:18,1,22
2026-04-18 13:52:27 - ID: sess-ikbnllpuk, [PAGE_EXIT] , Page: /cs , Details: User left page,2026-04-18 13:52:27,1,22
2026-04-18 13:52:30 - ID: sess-ikbnllpuk, [NAV_CLICK] , Page: /home , Details: To: Menu: Robots at F&M,2026-04-18 13:52:30,1,22
2026-04-18 13:52:30 - ID: sess-ikbnllpuk, [ROBOT_STOP] , Page: /home , Details: Interrupt triggered,2026-04-18 13:52:30,1,22
2026-04-18 13:52:30 - ID: sess-ikbnllpuk, [PAGE_EXIT] , Page: /home , Details: User left page,2026-04-18 13:52:30,1,22
2026-04-18 13:52:31 - ID: sess-ikbnllpuk, [PAGE_ENTER] , Page: /robots_at_fandm , Details: User viewing F&M Robots,2026-04-18 13:52:31,1,22
2026-04-18 13:52:32 - ID: sess-ikbnllpuk, [ROBOT_SPEECH_START] , Page: /robots_at_fandm , Details: Meet other robots like me! at F&M...,2026-04-18 13:52:32,1,22
2026-04-18 13:52:37 - ID: sess-ikbnllpuk, [ROBOT_PHOTO_ENLARGE] , Page: /robots_at_fandm , Details: Fullscreen view: Misty II,2026-04-18 13:52:37,1,22
2026-04-18 13:52:42 - ID: sess-ikbnllpuk, [ROBOT_CARD_CLICK] , Page: /robots_at_fandm , Details: Peerbot,2026-04-18 13:52:42,1,22
2026-04-18 13:52:42 - ID: sess-ikbnllpuk, [ROBOT_SPEECH_START] , Page: /robots_at_fandm , Details: The Peerbot allows anyone with access to a mobile device to ...,2026-04-18 13:52:42,1,22
2026-04-18 13:52:49 - ID: sess-ikbnllpuk, [PAGE_EXIT] , Page: /robots_at_fandm , Details: User left page,2026-04-18 13:52:49,1,22
2026-04-18 13:52:50 - ID: sess-ikbnllpuk, [PAGE_EXIT] , Page: /home , Details: User left page,2026-04-18 13:52:50,1,22
2026-04-18 13:52:50 - ID: sess-ikbnllpuk, [User entered Main Menu] , Page: /home , Details: N/A,2026-04-18 13:52:50,1,22
2026-04-18 13:56:47 - ID: sess-u9weecse9, [NAV_CLICK] , Page: / , Details: To: Start to Home,2026-04-18 13:56:47,1,23
2026-04-18 13:56:47 - ID: sess-u9weecse9, [ROBOT_STOP] , Page: / , Details: Interrupt triggered,2026-04-18 13:56:47,1,23
2026-04-18 13:56:48 - ID: sess-u9weecse9, [PAGE_EXIT] , Page: / , Details: User left page,2026-04-18 13:56:48,1,23
2026-04-18 13:56:48 - ID: sess-u9weecse9, [User entered Main Menu] , Page: /home , Details: N/A,2026-04-18 13:56:48,1,23
2026-04-18 13:57:00 - ID: sess-u9weecse9, [NAV_CLICK] , Page: /home , Details: To: Menu: Robots at F&M,2026-04-18 13:57:00,1,23
2026-04-18 13:57:00 - ID: sess-u9weecse9, [ROBOT_STOP] , Page: /home , Details: Interrupt triggered,2026-04-18 13:57:00,1,23
2026-04-18 13:57:01 - ID: sess-u9weecse9, [PAGE_EXIT] , Page: /home , Details: User left page,2026-04-18 13:57:01,1,23
2026-04-18 13:57:02 - ID: sess-u9weecse9, [PAGE_ENTER] , Page: /robots_at_fandm , Details: User viewing F&M Robots,2026-04-18 13:57:02,1,23
2026-04-18 13:57:03 - ID: sess-u9weecse9, [ROBOT_SPEECH_START] , Page: /robots_at_fandm , Details: Meet other robots like me! at F&M...,2026-04-18 13:57:03,1,23
2026-04-18 13:57:12 - ID: sess-u9weecse9, [ROBOT_CARD_CLICK] , Page: /robots_at_fandm , Details: Misty II,2026-04-18 13:57:12,1,23
2026-04-18 13:57:12 - ID: sess-u9weecse9, [ROBOT_SPEECH_START] , Page: /robots_at_fandm , Details: Misty 2 is our social robot....,2026-04-18 13:57:12,1,23
2026-04-18 13:57:12 - ID: sess-u9weecse9, [ROBOT_CARD_CLICK] , Page: /robots_at_fandm , Details: Misty II,2026-04-18 13:57:12,1,23
2026-04-18 13:57:12 - ID: sess-u9weecse9, [ROBOT_SPEECH_START] , Page: /robots_at_fandm , Details: Misty 2 is our social robot....,2026-04-18 13:57:12,1,23
2026-04-18 13:58:01 - ID: sess-u9weecse9, [PAGE_EXIT] , Page: /robots_at_fandm , Details: User left page,2026-04-18 13:58:01,1,23
